city,country,latitude,temp,humidity,clouds,winds
punta arenas,cl,-53.16,44.6,75,40,5.82
chokurdakh,ru,70.62,4.44,84,100,17.87
petropavlovsk-kamchatskiy,ru,53.05,37.4,59,75,4.47
pangai,to,-19.8,80.6,78,75,19.46
kulhudhuffushi,mv,6.62,85.64,71,100,9.01
saldanha,za,-33.01,59,54,25,4.7
vaini,to,-21.2,77,83,75,12.75
arraial do cabo,br,-22.97,77.07,80,11,16.96
luderitz,na,-26.65,50,87,0,1.12
fairbanks,us,64.84,30.99,86,90,5.82
meulaboh,id,4.14,81.23,79,100,6.49
verkhnyaya inta,ru,65.99,31.03,92,100,12.48
east london,za,-33.02,60.84,94,16,8.03
butaritari,ki,3.07,82.65,79,100,17.96
hithadhoo,mv,-0.6,84.18,77,73,10.89
necochea,ar,-38.55,71.01,66,98,4.14
puerto leguizamo,co,-0.19,75.92,95,97,1.34
bredasdorp,za,-34.53,59,93,0,3.36
new norfolk,au,-42.78,64,70,20,9.17
albany,au,-35.02,46.4,93,75,13.87
leningradskiy,ru,69.38,12.08,80,0,13.06
rikitea,pf,-23.12,79.52,71,27,6.06
mattru,sl,7.62,81.74,82,84,6.13
fukue,jp,35.03,73.99,82,40,6.93
atuona,pf,-9.8,83.59,74,57,10.87
hilo,us,19.71,80.6,61,75,10.29
chumikan,ru,54.72,24.3,80,100,11.88
dikson,ru,73.51,0.79,91,86,3.94
lebu,cl,-37.62,55.51,93,30,7.58
busselton,au,-33.64,48,97,100,32.35
ushuaia,ar,-54.81,35.6,64,75,8.05
tura,ru,64.27,24.93,91,100,15.82
serov,ru,59.61,31.44,82,82,6.15
cottonwood,us,34.74,81,11,1,5.82
thompson,ca,55.74,53.6,40,75,6.93
klaksvik,fo,62.23,50,76,59,16.11
bluff,nz,-46.6,60.01,70,10,1.99
hirson,fr,49.92,55.4,47,0,1.12
tuktoyaktuk,ca,69.44,14,78,75,14.99
mahebourg,mu,-20.41,77,78,40,9.17
carnarvon,au,-24.87,71.6,60,40,17.22
conakry,gn,9.52,82.4,65,0,10.76
houma,us,29.6,75.2,83,90,23.04
yellowknife,ca,62.45,41,65,75,10.29
khatanga,ru,71.98,-6.65,95,95,2.35
shimoda,jp,34.7,66.99,77,75,17.22
dhidhdhoo,mv,6.88,85.52,72,100,7.4
kijini,tz,-5.85,83.07,74,43,9.82
nikolskoye,ru,59.7,36,81,0,3.02
sorland,no,67.67,41.85,95,98,17.58
bambous virieux,mu,-20.34,77,78,40,9.17
namibe,ao,-15.19,72.65,75,22,11.16
gannan,cn,47.92,41.04,23,0,6.53
